date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:27:37	1834/1834	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2023%20Sep%202021%2021:27:37%20GMT	https://redefurious.minecart.com.br/robots.txt		(from )
21:27:38	7066/7066	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2023%20Sep%202021%2021:27:37%20GMT	https://redefurious.minecart.com.br/	C:/Users/projeto_heastyhostin/Desktop/ff/redefurious.minecart.com.br/index.html	(from )
21:27:38	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Sep%202021%2021:27:38%20GMT	https://imgur.com/GI3gsHe.png	C:/Users/projeto_heastyhostin/Desktop/ff/imgur.com/GI3gsHe.0.delayed	(from https://redefurious.minecart.com.br/)
21:27:38	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Sep%202021%2021:27:38%20GMT	http://cdn.minecart.com.br/assets/templates/transcend/css/style.css?v=2.0.6	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/templates/transcend/css/style.2e45f.delayed	(from https://redefurious.minecart.com.br/)
21:27:38	40747/40747	U-----	200	untouched ('')	image/png	etag:%223d32c61dbb1a3aaf7b2a3554dfbe0633%22	https://i.imgur.com/GI3gsHe.png	C:/Users/projeto_heastyhostin/Desktop/ff/i.imgur.com/GI3gsHe.png	(from https://redefurious.minecart.com.br/)
21:27:38	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Sep%202021%2021:27:38%20GMT	http://cdn.minecart.com.br/assets/js/jquery.min.js?v=2.0.6	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/js/jquery.mine45f.js	(from https://redefurious.minecart.com.br/)
21:27:38	21111/21111	U-----	200	untouched ('OK')	text/css	etag:W/%2268bd-5cc5d9567d36d-gzip%22	https://cdn.minecart.com.br/assets/templates/transcend/css/style.css?v=2.0.6	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/templates/transcend/css/stylee45f.css	(from https://redefurious.minecart.com.br/)
21:27:39	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Sep%202021%2021:27:39%20GMT	http://cdn.minecart.com.br/assets/templates/transcend/js/webApp.js?v=2.0.6	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/templates/transcend/js/webAppe45f.js	(from https://redefurious.minecart.com.br/)
21:27:39	86708/86708	---M-Z	200	added ('OK')	application/javascript	etag:%22152b4-5cc75d644477a-gzip%22	https://cdn.minecart.com.br/assets/js/jquery.min.js?v=2.0.6	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/js/jquery.mine45f.js	(from https://redefurious.minecart.com.br/)
21:27:39	5563/5563	U-----	200	untouched ('')	image/png	etag:%2215bb-5cabae079038a%22	https://cdn.minecart.com.br/assets/img/minecraft-favicon-default.png	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/img/minecraft-favicon-default.png	(from https://redefurious.minecart.com.br/)
21:27:39	7698/7698	---MCZ	200	added ('OK')	application/javascript	etag:W/%222c0a-5cc5d9567e30d-gzip%22	https://cdn.minecart.com.br/assets/templates/transcend/js/webApp.js?v=2.0.6	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/templates/transcend/js/webAppe45f.js	(from https://redefurious.minecart.com.br/)
21:27:39	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Sep%202021%2021:27:39%20GMT	https://imgur.com/YEpLSAk.png	C:/Users/projeto_heastyhostin/Desktop/ff/imgur.com/YEpLSAk.9.delayed	(from https://redefurious.minecart.com.br/)
21:27:40	322504/322504	U-----	200	untouched ('')	image/png	etag:%2215ebfe62b3bce9ec9e1df493893357ef%22	https://i.imgur.com/YEpLSAk.png	C:/Users/projeto_heastyhostin/Desktop/ff/i.imgur.com/YEpLSAk.png	(from https://redefurious.minecart.com.br/)
21:27:40	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Sep%202021%2021:27:40%20GMT	http://cdn.minecart.com.br/assets/img/loading.gif	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/img/loading.gif	(from https://redefurious.minecart.com.br/)
21:27:40	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2023%20Sep%202021%2021:27:40%20GMT	https://redefurious.minecart.com.br/shop	C:/Users/projeto_heastyhostin/Desktop/ff/redefurious.minecart.com.br/shop.c.delayed	(from https://redefurious.minecart.com.br/)
21:27:40	1828/1828	U-----	200	untouched ('')	image/png	etag:%22724-5cabae079038a%22	https://cdn.minecart.com.br/assets/img/store/icon-home.png	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/img/store/icon-home.png	(from https://redefurious.minecart.com.br/)
21:27:40	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Sep%202021%2021:27:40%20GMT	https://imgur.com/YFdMINk.png	C:/Users/projeto_heastyhostin/Desktop/ff/imgur.com/YFdMINk.14.delayed	(from https://redefurious.minecart.com.br/)
21:27:41	11488/11488	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2023%20Sep%202021%2021:27:41%20GMT	https://redefurious.minecart.com.br/shop/1160-geral	C:/Users/projeto_heastyhostin/Desktop/ff/redefurious.minecart.com.br/shop/1160-geral.html	(from https://redefurious.minecart.com.br/)
21:27:41	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Sep%202021%2021:27:41%20GMT	https://imgur.com/DwQMAKk.png	C:/Users/projeto_heastyhostin/Desktop/ff/imgur.com/DwQMAKk.16.delayed	(from https://redefurious.minecart.com.br/)
21:27:41	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%226149ff86-302c%22	https://redefurious.minecart.com.br/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/Users/projeto_heastyhostin/Desktop/ff/redefurious.minecart.com.br/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://redefurious.minecart.com.br/)
21:27:41	2458/2458	U-----	200	untouched ('')	image/png	etag:%2299a-5cabae079038a%22	https://cdn.minecart.com.br/assets/img/store/icon-store.png	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/img/store/icon-store.png	(from https://redefurious.minecart.com.br/)
21:27:43	6321/6321	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2023%20Sep%202021%2021:27:41%20GMT	https://redefurious.minecart.com.br/rules	C:/Users/projeto_heastyhostin/Desktop/ff/redefurious.minecart.com.br/rules.html	(from https://redefurious.minecart.com.br/)
21:27:43	6685/6685	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2023%20Sep%202021%2021:27:42%20GMT	https://redefurious.minecart.com.br/team	C:/Users/projeto_heastyhostin/Desktop/ff/redefurious.minecart.com.br/team.html	(from https://redefurious.minecart.com.br/)
21:27:43	2752/2752	U-----	200	untouched ('')	image/png	etag:%22ac0-5cabae079038a%22	https://cdn.minecart.com.br/assets/img/store/icon-team.png	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/img/store/icon-team.png	(from https://redefurious.minecart.com.br/)
21:27:43	1556/1556	U-----	200	untouched ('')	image/png	etag:%22614-5cabae079038a%22	https://cdn.minecart.com.br/assets/img/store/icon-book.png	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/img/store/icon-book.png	(from https://redefurious.minecart.com.br/)
21:27:43	6790/6790	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2023%20Sep%202021%2021:27:43%20GMT	https://redefurious.minecart.com.br/cart	C:/Users/projeto_heastyhostin/Desktop/ff/redefurious.minecart.com.br/cart.html	(from https://redefurious.minecart.com.br/)
21:27:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Sep%202021%2021:27:43%20GMT	http://cdn.minecart.com.br/assets/img/store/icon-shopping-cart.png	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/img/store/icon-shopping-cart.png	(from https://redefurious.minecart.com.br/)
21:27:43	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Sep%202021%2021:27:43%20GMT	https://imgur.com/LjPEs1I.png	C:/Users/projeto_heastyhostin/Desktop/ff/imgur.com/LjPEs1I.1b.delayed	(from https://redefurious.minecart.com.br/shop/1160-geral)
21:27:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Sep%202021%2021:27:43%20GMT	http://cdn.minecart.com.br/assets/img/store/icon-view-headline.png	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/img/store/icon-view-headline.png	(from https://redefurious.minecart.com.br/)
21:27:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Sep%202021%2021:27:44%20GMT	http://cdn.minecart.com.br/assets/img/steve_head_64x64.png	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/img/steve_head_64x64.png	(from https://redefurious.minecart.com.br/)
21:27:44	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Sep%202021%2021:27:44%20GMT	https://imgur.com/0XxZ9vE.png	C:/Users/projeto_heastyhostin/Desktop/ff/imgur.com/0XxZ9vE.1d.delayed	(from https://redefurious.minecart.com.br/shop/1160-geral)
21:27:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Sep%202021%2021:27:44%20GMT	http://cdn.minecart.com.br/assets/js/lazyload.min.js	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/js/lazyload.min.js	(from https://redefurious.minecart.com.br/)
21:27:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Sep%202021%2021:27:44%20GMT	http://cdn.minecart.com.br/assets/img/cube-server.png	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/img/cube-server.png	(from https://redefurious.minecart.com.br/)
21:27:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Sep%202021%2021:27:45%20GMT	http://cdn.minecart.com.br/assets/img/cube-vip.png	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/img/cube-vip.png	(from https://redefurious.minecart.com.br/)
21:27:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Sep%202021%2021:27:45%20GMT	http://cdn.minecart.com.br/assets/img/steve-skin-render-80.png	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/img/steve-skin-render-80.png	(from https://redefurious.minecart.com.br/)
21:28:15	13795/13795	U-----	200	untouched ('')	text/javascript	etag:W/2021.9.0	https://static.cloudflareinsights.com/beacon.min.js	C:/Users/projeto_heastyhostin/Desktop/ff/static.cloudflareinsights.com/beacon.min.js	(from https://redefurious.minecart.com.br/)
21:28:30	40019/40019	U-----	200	untouched ('')	image/png	etag:%227658162e8692649731cc0269563286db%22	https://i.imgur.com/YFdMINk.png	C:/Users/projeto_heastyhostin/Desktop/ff/i.imgur.com/YFdMINk.png	(from https://redefurious.minecart.com.br/)
21:28:30	31484/31484	U-----	200	untouched ('')	image/png	etag:%22b33ed192329042e54e1f3e864a3b61ce%22	https://i.imgur.com/DwQMAKk.png	C:/Users/projeto_heastyhostin/Desktop/ff/i.imgur.com/DwQMAKk.png	(from https://redefurious.minecart.com.br/)
21:28:30	12553/12553	U-----	200	untouched ('')	image/png	etag:%22ecf1194b5c47c6956f975f900065bf9e%22	https://i.imgur.com/LjPEs1I.png	C:/Users/projeto_heastyhostin/Desktop/ff/i.imgur.com/LjPEs1I.png	(from https://redefurious.minecart.com.br/shop/1160-geral)
21:28:30	297172/297172	U-----	200	untouched ('')	image/png	etag:%22488d4-5cabae078f3ea%22	https://cdn.minecart.com.br/assets/img/cash-background.png	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/img/cash-background.png	(from https://cdn.minecart.com.br/assets/templates/transcend/css/style.css?v=2.0.6)
21:28:31	14331/14331	U-----	200	untouched ('')	image/png	etag:%22e91b3ca1350d8b548f88fe358b9feb0a%22	https://i.imgur.com/0XxZ9vE.png	C:/Users/projeto_heastyhostin/Desktop/ff/i.imgur.com/0XxZ9vE.png	(from https://redefurious.minecart.com.br/shop/1160-geral)
