date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:09:40	1556/1556	---M--	200	added ('OK')	image/png	etag:%22614-5cabae079038a%22	https://cdn.minecart.com.br/assets/img/store/icon-book.png	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/img/store/icon-book.png	(from https://redefurious.minecart.com.br/)
21:09:41	6685/6685	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Sep%202021%2021:09:40%20GMT	https://redefurious.minecart.com.br/team	C:/Users/projeto_heastyhostin/Desktop/ff/redefurious.minecart.com.br/team.html	(from https://redefurious.minecart.com.br/)
21:09:41	2752/2752	---M--	200	added ('OK')	image/png	etag:%22ac0-5cabae079038a%22	https://cdn.minecart.com.br/assets/img/store/icon-team.png	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/img/store/icon-team.png	(from https://redefurious.minecart.com.br/)
21:09:41	6790/6790	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Sep%202021%2021:09:41%20GMT	https://redefurious.minecart.com.br/cart	C:/Users/projeto_heastyhostin/Desktop/ff/redefurious.minecart.com.br/cart.html	(from https://redefurious.minecart.com.br/)
21:09:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Sep%202021%2021:09:41%20GMT	http://cdn.minecart.com.br/assets/img/store/icon-shopping-cart.png	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/img/store/icon-shopping-cart.png	(from https://redefurious.minecart.com.br/)
21:09:41	1018/1018	---M--	200	added ('OK')	image/png	etag:%223fa-5cabae079038a%22	https://cdn.minecart.com.br/assets/img/store/icon-shopping-cart.png	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/img/store/icon-shopping-cart.png	(from https://redefurious.minecart.com.br/)
21:09:42	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Sep%202021%2021:09:42%20GMT	http://cdn.minecart.com.br/assets/img/store/icon-view-headline.png	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/img/store/icon-view-headline.png	(from https://redefurious.minecart.com.br/)
21:09:42	316/316	---M--	200	added ('OK')	image/png	etag:%2213c-5cabae079038a%22	https://cdn.minecart.com.br/assets/img/store/icon-view-headline.png	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/img/store/icon-view-headline.png	(from https://redefurious.minecart.com.br/)
21:09:42	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Sep%202021%2021:09:42%20GMT	http://cdn.minecart.com.br/assets/img/steve_head_64x64.png	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/img/steve_head_64x64.png	(from https://redefurious.minecart.com.br/)
21:09:42	483/483	---M--	200	added ('OK')	image/png	etag:%221e3-5cc758478d3cc%22	https://cdn.minecart.com.br/assets/img/steve_head_64x64.png	C:/Users/projeto_heastyhostin/Desktop/ff/cdn.minecart.com.br/assets/img/steve_head_64x64.png	(from https://redefurious.minecart.com.br/)
